次元数,10,母集団サイズ,120,子個体生成数,109
初期f1,初期f2
0.377194,71.560711
0.109703,92.757810
0.252050,86.626809
0.036258,100.958130
0.126975,90.199689
0.000022,116.702110
0.341510,82.682929
0.617279,57.707383
0.447872,84.247254
0.082013,109.442798
0.350621,84.825371
0.004436,120.481210
0.140853,90.527384
0.331636,89.275156
0.642652,71.849943
0.050068,114.502750
0.771603,58.310852
0.521231,77.671343
0.348878,87.418675
0.337572,92.864563
0.089540,113.884498
0.237047,93.383242
0.440298,88.999133
0.142528,96.450009
0.067605,121.834758
0.038336,135.617879
0.502486,86.230874
0.387035,89.549473
0.987976,77.934916
0.700435,82.384056
0.693319,82.402314
0.913069,83.257637
0.716119,84.129942
0.965055,82.926195
0.302610,96.213538
0.557261,94.795005
0.195172,105.354599
0.680425,90.733348
0.108607,117.713812
0.084082,123.454517
0.217494,104.900502
0.165244,117.308554
0.229742,102.599544
0.905937,88.444096
0.208702,110.160558
0.192683,120.176157
0.247917,104.613651
0.535096,97.071055
0.141054,128.452015
0.938863,87.083273
0.133764,131.317337
0.346201,98.845057
0.481007,98.079897
0.350841,98.765212
0.717956,90.257371
0.834391,88.725202
0.109365,132.323171
0.410396,104.766766
0.782224,93.299240
0.510307,100.698243
0.258562,109.324389
0.117000,136.775477
0.212853,119.048589
0.357810,107.196672
0.234164,121.147130
0.149199,140.192343
0.524624,106.650116
0.148262,148.631493
0.496854,109.937007
0.587057,101.766693
0.174911,139.427704
0.318384,111.545426
0.846825,95.564442
0.266206,116.089157
0.941722,94.638391
0.134551,151.468381
0.537513,108.638723
0.259490,122.011654
0.770423,102.010082
0.380843,117.485915
0.397175,113.160255
0.234654,137.925289
0.600013,106.870178
0.931097,95.704839
0.414912,111.616043
0.258218,125.117806
0.164341,143.678723
0.917584,97.524317
0.556898,111.269979
0.800814,103.930659
0.685654,107.692378
0.430163,123.630811
0.341373,134.872739
0.437503,116.946281
0.634966,109.324953
0.522122,112.084492
0.844581,102.040643
0.471475,142.604040
0.694350,110.667769
0.487861,119.320576
0.413768,154.803285
0.955739,106.783641
0.896882,107.149608
0.906910,111.473977
0.531306,137.804921
0.545073,124.042603
0.792024,115.131305
0.804673,112.478410
0.841410,112.541848
0.607414,126.071975
0.832458,115.468161
0.880304,117.606145
0.875945,134.488471
0.627033,134.652212
0.612500,159.309339
0.672242,145.012721
0.870280,140.051852
0.651043,149.904249
0.939102,124.573975
0.974105,131.114804

f1,f2
0.000000,70.485733
0.000141,38.595347
0.000003,40.875709
0.023319,32.543353
0.000007,105.331425
0.000004,113.336467
0.250718,38.484496
0.000008,79.676330
0.006029,39.132229
0.000207,40.794884
0.000049,54.339142
0.000009,66.485249
0.001995,47.914171
0.000012,93.457669
0.000323,56.479794
0.000010,155.490611
0.000027,66.705333
0.000234,62.671482
0.031475,39.355868
0.000275,57.402130
0.005103,45.506203
0.000608,50.236377
0.000077,65.181209
0.000023,74.627044
0.000016,115.223879
0.000029,72.553506
0.000015,115.336324
0.041230,40.726990
0.000118,71.874975
0.000019,103.397392
0.000013,139.221182
0.000020,98.272159
0.000282,63.523745
0.000536,58.005757
0.000016,106.160210
0.002601,47.994715
0.009966,47.299299
0.001815,56.425156
0.000138,66.601548
0.020343,48.255509
0.013126,49.319878
0.000030,97.929129
0.000148,78.468133
0.000026,105.782283
0.000029,102.283130
0.000037,87.011330
0.000158,77.960475
0.000070,80.300231
0.000649,66.586230
0.000166,67.317641
0.002228,57.012517
0.000057,82.227213
0.003310,49.369209
0.000022,116.702110
0.096344,46.600430
0.000833,63.519361
0.000417,66.758658
0.017493,48.961198
0.001901,57.835257
0.001562,58.804072
0.113912,43.054326
0.000017,140.327504
0.000055,90.817208
0.047291,49.081701
0.000065,87.281787
0.004344,52.246680
0.000335,67.868372
0.000214,76.458500
0.001745,64.613136
0.000047,99.043517
0.000032,99.600503
0.000250,70.755634
0.000156,79.181831
0.000605,67.492933
0.000023,123.118928
0.000102,81.195448
0.004968,50.722333
0.001975,61.507757
0.011955,50.028426
0.000142,80.696719
0.003818,59.634306
0.000025,117.356723
0.000024,117.571596
0.003009,59.840794
0.001335,65.073785
0.125996,47.013455
0.000079,86.295674
0.000047,101.018883
0.002825,61.828121
0.000069,100.441119
0.052018,50.281952
0.000036,103.191829
0.000781,68.081339
0.001522,66.071404
0.007473,51.334257
0.000377,79.190826
0.000164,79.604976
0.000448,77.387494
0.000627,68.624207
0.000130,97.247067
0.000027,131.568569
0.002475,62.810259
0.000079,99.706137
0.000132,97.171719
0.003591,61.061045
0.000533,70.931022
0.001998,65.243980
0.004688,52.795357
0.135953,47.992376
0.001475,66.110830
0.000710,82.082621
0.000269,99.311730
0.000328,94.214489
0.000055,103.278514
0.006548,55.699903
0.000057,101.647343
0.002719,63.827164
0.190899,50.713899
0.003682,63.315529
0.004891,57.474599


評価回数,10900
